,JS,NMI,NVI
model/256_4_4_2_15_18_p+KL,0.0078125,0.3999999999999998,0.375
model/256_4_4_2_15_18_p+CNM_gr_mod,0.020833333333333332,0.8697083946784426,0.11527255861065211
model/256_4_4_2_15_18_p+GN_rand,0.15625,0.9508196721311474,0.046875
model/256_4_4_2_15_18_p+Leiden,1.0,1.0,0.0
model/256_4_4_4_13_18_p+KL,0.0,0.6666666666666666,0.125
model/256_4_4_4_13_18_p+CNM_gr_mod,1.0,1.0,0.0
model/256_4_4_4_13_18_p+GN_rand,0.08333333333333333,0.5771596324111227,0.1485902344426084
model/256_4_4_4_13_18_p+Leiden,0.015625,0.6666666666666664,0.25
real/cat_cortex_sim+KL,0.1206896551724138,0.39356906631078475,0.30747333922958997
real/cat_cortex_sim+CNM_gr_mod,0.07272727272727272,3.3170170733816576e-16,0.33409275772194214
real/cat_cortex_sim+GN_rand,0.07407407407407407,0.03368129213078025,0.3447537317726829
real/cat_cortex_sim+Leiden,0.1656955087271179,0.5502167130097778,0.3166125068244744
real/dolphins+KL,0.08870967741935484,0.4593288102205771,0.1731803136657625
real/dolphins+CNM_gr_mod,0.36417748917748916,0.5727004718449734,0.18826782236918882
real/dolphins+GN_rand,0.9642857142857142,0.8888359488640809,0.034179753209708605
real/dolphins+Leiden,0.0011904761904761906,0.2644273126139423,0.8476426170244733
real/football+KL,0.011695906432748537,0.39839826901860337,0.3993539677288241
real/football+CNM_gr_mod,0.047619047619047616,0.6977316621164371,0.26746520010039426
real/football+GN_rand,0.0,0.6783350126371587,0.26678491853180625
real/football+Leiden,0.0008620689655172415,0.6822549220193596,0.4822557614369001
real/zachary_unwh+KL,0.014705882352941176,0.8371694628777809,0.06393253821748714
real/zachary_unwh+CNM_gr_mod,0.012820512820512822,0.6924673268725452,0.1508963571600828
real/zachary_unwh+GN_rand,0.9424342105263157,0.8364981174679549,0.06387451651534884
real/zachary_unwh+Leiden,0.001838235294117647,0.32785808392555404,0.8039292713292894
toy/20x2+5x2+KL,0.4,0.7347732674337096,0.1279139777153284
toy/20x2+5x2+CNM_gr_mod,0.625,0.938344985628389,0.035436764027111586
toy/20x2+5x2+GN_rand,0.625,0.938344985628389,0.035436764027111586
toy/20x2+5x2+Leiden,0.001,0.46754779351140263,0.6949022021491137
toy/graph3+1+3+KL,0.75,0.5294617736385714,0.3302663984866967
toy/graph3+1+3+CNM_gr_mod,1.0,1.0,0.0
toy/graph3+1+3+GN_rand,0.75,0.5294617736385714,0.3302663984866967
toy/graph3+1+3+Leiden,0.03571428571428571,0.5195552060130464,0.6490546570035595
toy/graph4+4+KL,1.0,1.0,0.0
toy/graph4+4+CNM_gr_mod,1.0,1.0,0.0
toy/graph4+4+GN_rand,1.0,1.0,0.0
toy/graph4+4+Leiden,0.03125,0.49999999999999983,0.6666666666666666
toy/star+KL,0.2222222222222222,6.464542195354464e-16,0.31264968710215024
toy/star+CNM_gr_mod,1.0,1.0,0.0
toy/star+GN_rand,0.11111111111111112,1.7039820375288895e-16,0.5930629109116868
toy/star+Leiden,0.012345679012345678,0.0,0.9999999999999999
model/rb125-1+KL,0.13501400560224092,0.3352629602623189,0.31700349437192543
model/rb125-1+CNM_gr_mod,0.0,0.8284043684093804,0.13809329367339515
model/rb125-1+GN_rand,0.024,0.14834601544476253,0.34283707977081096
model/rb125-1+Leiden,0.0003669724770642202,0.5208333333333331,0.6133333333333316
model/rb125-2+KL,0.0025396825396825397,0.3303579255455714,0.5425566594098433
model/rb125-2+CNM_gr_mod,0.0,0.8284498812660894,0.19524003965993816
model/rb125-2+GN_rand,0.08173913043478262,0.18812948193285284,0.5974455753296896
model/rb125-2+Leiden,0.001834862385321101,0.826446280991735,0.2799999999999992
model/rb125-3+KL,0.0,0.33885732973095384,0.5384110926487423
model/rb125-3+CNM_gr_mod,0.0,0.8254431596337083,0.19938560642103914
model/rb125-3+GN_rand,0.00033444816053511704,0.18707560597756137,0.6015911420907905
model/rb125-3+Leiden,0.011467889908256881,0.829454076202914,0.2758544332388983
