,Ground Truth,KL,CNM_gr_mod,GN_rand,Leiden
real/airports_UW,,0.39746037375415966,-2.7616601658899312e-17,0.0072518479791381955,-0.0017156754066542572
model/256_4_4_2_15_18_p,0.781804212508189,0.4687696525830179,0.7656597969165396,0.7779687438358984,0.7818042125081897
model/256_4_4_4_13_18_p,0.6967733384846476,0.4638973466724993,0.6967733384846476,0.35951964666448216,0.6633775753249374
real/cat_cortex_sim,0.36240346007995117,0.2490768272130023,-3.7347993364179604e-17,-3.9264175412854634e-05,0.23707151300236406
real/dolphins,0.37348206162731,0.39608797120366857,0.49549068470392793,0.3787033740753929,-0.021399469957675735
real/football,0.553973318714418,0.37585857268691963,0.5497406651426724,0.550238311302946,-0.008755378969526495
real/zachary_unwh,0.37146614069690825,0.371794871794871,0.38067061143984193,0.3599605522682426,-0.04980276134122286
toy/20x2+5x2,0.5415859964709393,0.4925711940005955,0.5425785462209648,0.5425785462209648,-0.02267240956768943
toy/graph3+1+3,0.3671875,0.3671875,0.3671875,0.3671875,-0.1484375
toy/graph4+4,0.4428571428571426,0.4428571428571427,0.4428571428571426,0.4428571428571426,-0.12721893491124264
toy/star,0.0,-0.125,0.0,-0.078125,-0.28125
model/rb125-1,0.6005948839976181,0.32273646638906633,0.6087328970850727,0.09242117787032049,0.10072957305649241
model/rb125-2,0.5581439619274257,0.32273646638906633,0.6087328970850727,0.09242117787032049,0.10072957305649241
model/rb125-3,0.5531469363474139,0.32273646638906633,0.6087328970850727,0.09242117787032049,0.10072957305649241
